ID,ApplicationDate,AnnualIncome,EmploymentStatus,Experience,LoanDuration,NumberOfDependents,MonthlyDebtPayments,NumberOfOpenCreditLines,BankruptcyHistory,PreviousLoanDefaults,LengthOfCreditHistory,CheckingAccountBalance,TotalLiabilities,NetWorth,LoanApproved
A001,01-01-2018,39948,Employed,22,48,2,183,1,0,0,9,1202,19183,126928,0
A002,02-01-2018,39709,Employed,15,48,1,496,5,0,0,9,3460,9595,43609,0
A003,03-01-2018,40724,Employed,26,36,2,902,2,0,0,22,895,128874,5205,0
A004,04-01-2018,69084,Employed,34,96,1,755,2,0,0,10,1217,5370,99452,0
A005,05-01-2018,103264,Employed,17,36,1,274,0,0,0,27,4981,17286,227019,1
A006,06-01-2018,178310,Self-Employed,16,72,0,732,5,0,1,19,1223,40843,27071,1
A007,07-01-2018,51250,Employed,39,48,0,337,6,0,0,18,1735,43894,21730,0
A008,08-01-2018,97345,Employed,23,12,5,288,5,0,0,11,74,11556,38621,1
A009,09-01-2018,116841,Employed,12,60,5,638,3,1,0,29,708,49940,7711,0
A010,10-01-2018,40615,Employed,19,12,4,704,3,0,0,10,446,12852,116812,0
A011,11-01-2018,73646,Employed,10,84,3,267,4,0,0,7,3875,20315,128651,0
A012,12-01-2018,15000,Employed,11,24,2,295,5,0,0,28,348,3353,29709,0
A013,13-01-2018,74453,Employed,21,60,1,258,6,0,0,7,1633,35493,5231,0
A014,14-01-2018,100508,Employed,0,60,1,247,5,0,1,3,916,99030,82783,0
A015,15-01-2018,47624,Employed,0,36,1,196,2,0,0,21,576,9418,35918,0
A016,16-01-2018,56650,Employed,11,36,1,336,4,0,0,15,131,11144,250291,1
A017,17-01-2018,50042,Employed,7,60,1,680,6,0,0,14,1219,89196,7021,0
A018,18-01-2018,142326,Employed,24,96,2,772,1,0,0,2,856,4213,69623,1
A019,19-01-2018,16021,Employed,8,72,0,286,5,0,1,12,1127,25345,3933,0
A020,20-01-2018,34698,Employed,0,60,3,755,5,0,0,29,2098,72605,55430,0
A021,21-01-2018,106749,Employed,30,48,0,1059,0,0,0,14,4304,8152,204416,1
A022,22-01-2018,59138,Employed,14,72,0,564,2,0,0,9,5192,18681,5576,0
A023,23-01-2018,114216,Employed,17,60,3,571,3,0,0,2,2127,27250,2482,1
A024,24-01-2018,63300,Employed,0,24,2,376,3,0,0,7,1735,53225,6903,0
A025,25-01-2018,39676,Employed,12,60,1,199,2,0,0,4,1085,76577,81172,0
A026,26-01-2018,59192,Unemployed,16,36,4,222,4,0,0,1,3449,9196,58413,0
A027,27-01-2018,15059,Employed,0,24,3,443,2,0,0,25,7335,13107,16754,0
A028,28-01-2018,15305,Self-Employed,23,48,4,443,1,0,0,29,979,7005,9931,0
A029,29-01-2018,35498,Employed,10,36,0,698,2,0,0,17,205,31484,2705,0
A030,30-01-2018,60227,Employed,14,84,3,458,3,0,0,28,1993,35773,105395,1
A031,31-01-2018,23861,Self-Employed,10,36,0,521,2,0,0,27,1072,8627,76539,0
