ApplicationDate,Age,CreditScore,EducationLevel,Experience,LoanAmount,MaritalStatus,HomeOwnershipStatus,ID,CreditCardUtilizationRate,NumberOfCreditInquiries,LoanPurpose,PaymentHistory,SavingsAccountBalance,TotalAssets,JobTenure,InterestRate,RiskScore
01-01-2018,45,617,Master,22,13152,Married,Own,A001,35.4,2,Home,29,7632,146111,11,22.75,49
02-01-2018,38,628,Associate,NaN,26045,Single,Mortgage,A002,8.78,3,Debt Consolidation,21,4627,53204,3,20.1,XX
03-01-2018,47,570,Bachelor,26,17627,Married,Rent,A003,13.7,0,Education,20,886,25176,6,21.25,XX
04-01-2018,58,545,High School,34,37898,Single,Mortgage,A004,2.67,1,Home,27,1675,104822,5,30.09,54
05-01-2018,37,594,Associate,17,9184,Married,Mortgage,A005,3.2,0,Debt Consolidation,26,1555,244305,5,17.59,36
06-01-2018,37,626,Master,16,15433,Married,Rent,A006,10.2,1,Debt Consolidation,16,2118,67914,5,21.76,44
07-01-2018,58,564,High School,39,12741,Married,Rent,A007,3.67,1,Other,21,5161,65624,5,20.52,50
08-01-2018,49,516,High School,23,19634,Divorced,Mortgage,A008,20.9,0,Other,19,781,50177,5,20.91,42
09-01-2018,34,603,Bachelor,12,55353,Divorced,Own,A009,1.92,0,Debt Consolidation,25,1157,29632,3,29.15,61
10-01-2018,46,612,Associate,19,25443,Married,Other,A010,5.12,2,Other,23,1028,129664,3,19.72,53
11-01-2018,34,478,Associate,10,48716,Single,Own,A011,21.1,1,Auto,25,9266,148966,4,33.35,47
12-01-2018,34,591,Bachelor,11,30088,Married,Mortgage,A012,3.12,1,Home,21,259,33062,3,18.24,56
13-01-2018,42,573,Bachelor,21,16154,Married,Rent,A013,527,0,Debt Consolidation,26,781,16204,5,25.56,56
14-01-2018,18,580,Associate,0,20439,Married,Rent,A014,16.8,2,Other,20,2027,181813,6,24.53,63
15-01-2018,19,597,Bachelor,0,27197,Married,Mortgage,A015,11.4,1,Debt Consolidation,15,2971,45336,3,20.22,58
16-01-2018,33,605,Doctorate,11,12652,Single,Mortgage,A016,4.23,0,Auto,21,242,261435,2,21.64,33
17-01-2018,27,582,Doctorate,7,19105,Single,Rent,A017,10.3,3,Debt Consolidation,36,2214,11162,5,18.71,53
18-01-2018,43,644,Bachelor,24,13499,Widowed,Mortgage,A018,22.2,2,Other,18,13247,73836,5,22.37,39
19-01-2018,29,553,High School,8,14655,Single,Rent,A019,5.56,1,Debt Consolidation,25,8651,29278,4,23.47,59
20-01-2018,23,594,Associate,0,14314,Widowed,Mortgage,A020,18.7,0,Debt Consolidation,27,3721,128035,5,23.14,48
21-01-2018,57,630,Master,30,15698,Single,Rent,A021,13.2,1,Auto,21,1686,212568,4,20.44,32
22-01-2018,37,594,Associate,14,13205,NA,Own,A022,3.93,1,Auto,18,1187,24257,4,21.14,51
23-01-2018,40,635,Doctorate,17,9809,Single,Rent,A023,22.4,1,Home,26,720,23984,10,20.11,46
24-01-2018,22,503,Associate,0,16476,Married,Rent,A024,3.89,1,Home,29,2154,14710,5,23.16,53
25-01-2018,33,555,Master,12,47795,Single,Other,A025,3.46,1,Home,19,840,157749,4,25.34,60
26-01-2018,41,594,High School,16,45608,Divorced,Mortgage,A026,4.09,0,Auto,18,21084,67609,3,20.06,58
27-01-2018,26,462,Associate,0,20240,Single,Other,A027,9.88,0,Home,16,713,29861,12,24.6,51
28-01-2018,44,608,Bachelor,23,21452,Single,Mortgage,A028,11.1,1,Home,21,9547,16936,2,22.53,51
29-01-2018,32,622,Master,10,11136,Married,Own,A029,3.9,0,Home,18,1346,34189,3,16.48,48
30-01-2018,36,576,Bachelor,14,25264,Divorced,Own,A030,2.78,1,Home,27,5391,141168,5,23.91,36
31-01-2018,32,592,High School,10,19570,Married,Other,A031,2.32,3,Auto,29,3348,85166,8,19.7,55
01-02-2018,62,667,Master,37,44668,Single,Other,A032,29.5,2,Home,16,17023,56887,5,23.46,62
02-02-2018,39,559,Bachelor,19,10094,Married,Mortgage,A033,1.28,0,Auto,21,2987,69823,4,26.1,51
03-02-2018,27,535,High School,4,11318,Single,Mortgage,A034,5.82,3,Home,15,4172,303949,1,34.35,53
04-02-2018,49,520,Associate,25,10166,Single,Mortgage,A035,5.66,3,Home,27,1767,249298,2,27.39,55
05-02-2018,25,571,Bachelor,3,24186,Married,Rent,A036,33.1,0,Education,31,14921,18899,4,27.96,49
06-02-2018,42,552,Associate,18,18326,Married,Rent,A037,1.88,1,Home,25,463,170720,7,21.89,36
07-02-2018,18,604,Master,0,8015,Married,Mortgage,A038,3.76,4,Auto,17,2612,49999,7,15.28,45
08-02-2018,24,508,Associate,0,35876,Married,Rent,A039,572,0,Auto,20,7737,214229,8,23.04,50
09-02-2018,42,655,Bachelor,23,12850,Single,Other,A040,35.7,0,Debt Consolidation,19,3012,115322,8,18.95,37
10-02-2018,48,595,High School,26,30517,Divorced,Own,A041,3.82,0,Home,22,5165,46352,6,22.62,54
11-02-2018,42,582,Bachelor,20,23363,Single,Other,A042,615,2,Debt Consolidation,20,991,27778,10,17.54,44
12-02-2018,38,591,High School,20,25576,Married,Rent,A043,14.4,0,Auto,27,2059,463089,8,28.76,47
